Index,Toimunud koolituse ID,Koolituse tüüp,Koolituste hinnad.Value,Osaleja ID,Päevade arv,Tundide arv koolitusel,Tundide arv päevas
166,21.07.2021_19_2,e-õpe,18,116,1,7,7
167,28.07.2021_13_5,klassiõpe,18,32,7,28,4
168,28.07.2021_13_5,klassiõpe,18,35,7,28,4
169,28.07.2021_13_5,klassiõpe,18,91,7,28,4
170,28.07.2021_13_5,klassiõpe,18,105,7,28,4
171,28.07.2021_13_5,klassiõpe,18,107,7,28,4
172,28.07.2021_13_5,klassiõpe,18,122,7,28,4
173,02.09.2021_12_6,klassiõpe,18,5,10,30,3
174,02.09.2021_12_6,klassiõpe,18,85,10,30,3
175,02.09.2021_12_6,klassiõpe,18,92,10,30,3
176,02.09.2021_12_6,klassiõpe,18,104,10,30,3
177,02.09.2021_12_6,klassiõpe,18,124,10,30,3
178,04.09.2021_5_2,klassiõpe,30,29,1,6,6
179,04.09.2021_5_2,klassiõpe,30,42,1,6,6
180,04.09.2021_5_2,klassiõpe,30,47,1,6,6
181,04.09.2021_5_2,klassiõpe,30,49,1,6,6
182,04.09.2021_5_2,klassiõpe,30,50,1,6,6
183,04.09.2021_5_2,klassiõpe,30,71,1,6,6
184,04.09.2021_5_2,klassiõpe,30,81,1,6,6
185,04.09.2021_5_2,klassiõpe,30,111,1,6,6
186,04.09.2021_5_2,e-õpe,21,121,1,6,6
187,13.09.2021_2_3,e-õpe,24,5,3,18,6
188,13.09.2021_2_3,e-õpe,24,6,3,18,6
189,13.09.2021_2_3,e-õpe,24,9,3,18,6
190,13.09.2021_2_3,e-õpe,24,19,3,18,6
191,13.09.2021_2_3,e-õpe,24,28,3,18,6
192,13.09.2021_2_3,e-õpe,24,39,3,18,6
193,13.09.2021_2_3,e-õpe,24,47,3,18,6
194,13.09.2021_2_3,e-õpe,24,49,3,18,6
195,14.09.2021_15_3,klassiõpe,24,2,2,8,4
196,14.09.2021_15_3,klassiõpe,24,41,2,8,4
197,14.09.2021_15_3,klassiõpe,24,57,2,8,4
198,14.09.2021_15_3,klassiõpe,24,5,2,8,4
199,14.09.2021_15_3,klassiõpe,24,101,2,8,4
200,18.09.2021_1_3,klassiõpe,30,5,3,15,5
201,18.09.2021_1_3,klassiõpe,30,8,3,15,5
202,18.09.2021_1_3,klassiõpe,30,20,3,15,5
203,18.09.2021_1_3,klassiõpe,30,23,3,15,5
204,18.09.2021_1_3,klassiõpe,30,42,3,15,5
205,18.09.2021_1_3,klassiõpe,30,45,3,15,5
206,18.09.2021_1_3,klassiõpe,30,53,3,15,5
207,18.09.2021_1_3,klassiõpe,30,54,3,15,5
208,18.09.2021_1_3,klassiõpe,30,55,3,15,5
209,18.09.2021_1_3,klassiõpe,30,57,3,15,5
210,22.09.2021_16_3,klassiõpe,24,13,1,6,6
211,22.09.2021_16_3,klassiõpe,24,33,1,6,6
212,22.09.2021_16_3,klassiõpe,24,46,1,6,6
213,22.09.2021_16_3,klassiõpe,24,55,1,6,6
214,22.09.2021_16_3,klassiõpe,24,13,1,6,6
215,22.09.2021_16_3,klassiõpe,24,79,1,6,6
216,22.09.2021_16_3,klassiõpe,24,80,1,6,6
217,22.09.2021_16_3,klassiõpe,24,86,1,6,6
218,22.09.2021_16_3,klassiõpe,24,91,1,6,6
219,27.09.2021_4_2,e-õpe,21,3,1,5,5
220,27.09.2021_4_2,e-õpe,21,12,1,5,5
221,27.09.2021_4_2,e-õpe,21,14,1,5,5
222,27.09.2021_4_2,e-õpe,21,24,1,5,5
223,27.09.2021_4_2,e-õpe,21,38,1,5,5
224,27.09.2021_4_2,e-õpe,21,85,1,5,5
225,27.09.2021_4_2,e-õpe,21,108,1,5,5
226,27.09.2021_4_2,e-õpe,21,112,1,5,5
227,05.10.2021_4_1,klassiõpe,24,4,1,5,5
228,05.10.2021_4_1,klassiõpe,24,6,1,5,5
229,05.10.2021_4_1,klassiõpe,24,110,1,5,5
230,05.10.2021_4_1,klassiõpe,24,17,1,5,5
231,05.10.2021_4_1,klassiõpe,24,19,1,5,5
232,05.10.2021_4_1,klassiõpe,24,36,1,5,5
233,05.10.2021_4_1,klassiõpe,24,52,1,5,5
234,05.10.2021_4_1,e-õpe,21,61,1,5,5
235,05.10.2021_4_1,e-õpe,21,62,1,5,5
236,27.10.2021_14_3,klassiõpe,36,22,3,15,5
237,27.10.2021_14_3,klassiõpe,36,1,3,15,5
238,27.10.2021_14_3,klassiõpe,36,41,3,15,5
239,27.10.2021_14_3,klassiõpe,36,55,3,15,5
240,27.10.2021_14_3,klassiõpe,36,59,3,15,5
241,27.10.2021_14_3,klassiõpe,36,85,3,15,5
242,27.10.2021_14_3,klassiõpe,36,97,3,15,5
243,27.10.2021_14_3,klassiõpe,36,108,3,15,5
244,27.10.2021_14_3,e-õpe,30,96,3,15,5
245,27.10.2021_14_3,e-õpe,30,122,3,15,5
246,30.10.2021_8_3,klassiõpe,27,14,1,6,6
247,30.10.2021_8_3,klassiõpe,27,21,1,6,6
248,30.10.2021_8_3,klassiõpe,27,91,1,6,6
249,30.10.2021_8_3,klassiõpe,27,101,1,6,6
250,30.10.2021_8_3,klassiõpe,27,102,1,6,6
251,30.10.2021_8_3,klassiõpe,27,103,1,6,6
252,02.11.2021_15_3,klassiõpe,24,38,2,8,4
253,02.11.2021_15_3,klassiõpe,24,49,2,8,4
254,02.11.2021_15_3,klassiõpe,24,78,2,8,4
255,02.11.2021_15_3,klassiõpe,24,82,2,8,4
256,02.11.2021_15_3,klassiõpe,24,100,2,8,4
257,02.11.2021_15_3,klassiõpe,24,115,2,8,4
258,02.11.2021_15_3,klassiõpe,24,122,2,8,4
259,02.11.2021_15_3,klassiõpe,24,124,2,8,4
260,03.11.2021_20_2,e-õpe,21,27,2,12,6
261,03.11.2021_20_2,e-õpe,21,43,2,12,6
262,03.11.2021_20_2,e-õpe,21,51,2,12,6
263,03.11.2021_20_2,e-õpe,21,73,2,12,6
264,03.11.2021_20_2,e-õpe,21,78,2,12,6
265,03.11.2021_20_2,e-õpe,21,98,2,12,6
266,03.11.2021_20_2,e-õpe,21,115,2,12,6
267,03.11.2021_20_2,e-õpe,21,126,2,12,6
268,17.11.2021_11_6,klassiõpe,18,21,10,30,3
269,17.11.2021_11_6,klassiõpe,18,34,10,30,3
270,17.11.2021_11_6,klassiõpe,18,44,10,30,3
271,17.11.2021_11_6,klassiõpe,18,54,10,30,3
272,17.11.2021_11_6,klassiõpe,18,55,10,30,3
273,17.11.2021_11_6,klassiõpe,18,87,10,30,3
274,17.11.2021_11_6,klassiõpe,18,10,10,30,3
275,17.11.2021_11_6,klassiõpe,18,118,10,30,3
276,17.11.2021_11_6,klassiõpe,18,123,10,30,3
277,17.11.2021_11_6,klassiõpe,18,127,10,30,3
278,17.11.2021_15_2,klassiõpe,24,12,2,8,4
279,17.11.2021_15_2,klassiõpe,24,48,2,8,4
280,17.11.2021_15_2,klassiõpe,24,51,2,8,4
281,17.11.2021_15_2,klassiõpe,24,103,2,8,4
282,17.11.2021_15_2,klassiõpe,24,20,2,8,4
283,07.12.2021_19_1,e-õpe,18,2,1,7,7
284,07.12.2021_19_1,e-õpe,18,14,1,7,7
285,07.12.2021_19_1,e-õpe,18,29,1,7,7
286,07.12.2021_19_1,e-õpe,18,40,1,7,7
287,07.12.2021_19_1,e-õpe,18,54,1,7,7
288,07.12.2021_19_1,e-õpe,18,66,1,7,7
289,07.12.2021_19_1,e-õpe,18,73,1,7,7
290,07.12.2021_19_1,e-õpe,18,82,1,7,7
291,07.12.2021_19_1,e-õpe,18,90,1,7,7
292,07.12.2021_19_1,e-õpe,18,100,1,7,7
293,07.12.2021_19_1,e-õpe,18,109,1,7,7
294,09.12.2021_6_3,klassiõpe,33,6,1,8,8
295,09.12.2021_6_3,klassiõpe,33,12,1,8,8
296,09.12.2021_6_3,klassiõpe,33,36,1,8,8
297,09.12.2021_6_3,klassiõpe,33,45,1,8,8
298,09.12.2021_6_3,klassiõpe,33,72,1,8,8
299,09.12.2021_6_3,klassiõpe,33,75,1,8,8
300,09.12.2021_6_3,klassiõpe,33,98,1,8,8
301,18.12.2021_16_2,klassiõpe,24,1,1,6,6
302,18.12.2021_16_2,klassiõpe,24,14,1,6,6
303,18.12.2021_16_2,klassiõpe,24,41,1,6,6
304,18.12.2021_16_2,klassiõpe,24,72,1,6,6
305,18.12.2021_16_2,klassiõpe,24,87,1,6,6
306,18.12.2021_16_2,klassiõpe,24,101,1,6,6
307,18.12.2021_16_2,klassiõpe,24,122,1,6,6
308,21.12.2021_15_2,klassiõpe,24,10,2,8,4
309,21.12.2021_15_2,klassiõpe,24,44,2,8,4
310,21.12.2021_15_2,klassiõpe,24,45,2,8,4
311,21.12.2021_15_2,klassiõpe,24,112,2,8,4
312,21.12.2021_15_2,klassiõpe,24,119,2,8,4
313,21.12.2021_15_2,klassiõpe,24,119,2,8,4
314,24.12.2021_8_7,klassiõpe,27,34,1,6,6
315,24.12.2021_8_7,klassiõpe,27,110,1,6,6
316,24.12.2021_8_7,klassiõpe,27,126,1,6,6
317,24.12.2021_8_7,klassiõpe,27,127,1,6,6
318,12.01.2022_3_1,klassiõpe,36,20,3,18,6
319,12.01.2022_3_1,klassiõpe,36,21,3,18,6
320,12.01.2022_3_1,klassiõpe,36,24,3,18,6
321,12.01.2022_3_1,klassiõpe,36,27,3,18,6
322,12.01.2022_3_1,klassiõpe,36,28,3,18,6
323,12.01.2022_3_1,klassiõpe,36,34,3,18,6
324,12.01.2022_3_1,klassiõpe,36,44,3,18,6
325,12.01.2022_3_1,klassiõpe,36,63,3,18,6
326,19.01.2022_7_4,klassiõpe,30,16,3,12,4
327,19.01.2022_7_4,klassiõpe,30,22,3,12,4
328,19.01.2022_7_4,klassiõpe,30,47,3,12,4
329,19.01.2022_7_4,klassiõpe,30,58,3,12,4
330,19.01.2022_7_4,klassiõpe,30,82,3,12,4
331,19.01.2022_7_4,klassiõpe,30,91,3,12,4
332,19.01.2022_7_4,klassiõpe,30,79,3,12,4
333,19.01.2022_7_4,klassiõpe,30,112,3,12,4
334,19.01.2022_7_4,klassiõpe,30,118,3,12,4
335,19.01.2022_7_4,klassiõpe,30,122,3,12,4
336,14.02.2022_15_7,klassiõpe,24,3,2,8,4
337,14.02.2022_15_7,klassiõpe,24,14,2,8,4
338,14.02.2022_15_7,klassiõpe,24,19,2,8,4
339,14.02.2022_15_7,klassiõpe,24,27,2,8,4
340,14.02.2022_15_7,klassiõpe,24,78,2,8,4
341,14.02.2022_15_7,klassiõpe,24,79,2,8,4
342,14.02.2022_15_7,klassiõpe,24,88,2,8,4
343,14.02.2022_15_7,klassiõpe,24,118,2,8,4
344,11.03.2022_19_1,e-õpe,18,22,1,7,7
345,11.03.2022_19_1,e-õpe,18,41,1,7,7
346,11.03.2022_19_1,e-õpe,18,63,1,7,7
347,11.03.2022_19_1,e-õpe,18,70,1,7,7
348,11.03.2022_19_1,e-õpe,18,79,1,7,7
349,11.03.2022_19_1,e-õpe,18,85,1,7,7
350,11.03.2022_19_1,e-õpe,18,86,1,7,7
351,11.03.2022_19_1,e-õpe,18,94,1,7,7
352,11.03.2022_19_1,e-õpe,18,113,1,7,7
353,11.03.2022_19_1,e-õpe,18,123,1,7,7
354,18.03.2022_15_8,klassiõpe,24,20,2,8,4
355,18.03.2022_15_8,klassiõpe,24,62,2,8,4
356,18.03.2022_15_8,klassiõpe,24,65,2,8,4
357,18.03.2022_15_8,klassiõpe,24,83,2,8,4
358,18.03.2022_15_8,klassiõpe,24,96,2,8,4
359,18.03.2022_15_8,klassiõpe,24,99,2,8,4
360,18.03.2022_15_8,klassiõpe,24,126,2,8,4
361,01.04.2022_7_7,klassiõpe,30,11,3,12,4
362,01.04.2022_7_7,klassiõpe,30,20,3,12,4
363,01.04.2022_7_7,klassiõpe,30,33,3,12,4
364,01.04.2022_7_7,klassiõpe,30,51,3,12,4
365,01.04.2022_7_7,klassiõpe,30,56,3,12,4
366,01.04.2022_7_7,klassiõpe,30,52,3,12,4
367,01.04.2022_7_7,klassiõpe,30,111,3,12,4
368,01.04.2022_7_7,klassiõpe,30,80,3,12,4
369,20.04.2022_7_4,klassiõpe,30,14,3,12,4
370,20.04.2022_7_4,klassiõpe,30,27,3,12,4
371,20.04.2022_7_4,klassiõpe,30,39,3,12,4
372,20.04.2022_7_4,klassiõpe,30,45,3,12,4
373,20.04.2022_7_4,klassiõpe,30,74,3,12,4
374,20.04.2022_7_4,klassiõpe,30,77,3,12,4
375,20.04.2022_7_4,klassiõpe,30,107,3,12,4
376,20.04.2022_7_4,klassiõpe,30,117,3,12,4
377,11.05.2022_3_1,e-õpe,30,16,3,18,6
378,11.05.2022_3_1,e-õpe,30,17,3,18,6
379,11.05.2022_3_1,e-õpe,30,32,3,18,6
380,11.05.2022_3_1,e-õpe,30,35,3,18,6
381,11.05.2022_3_1,e-õpe,30,36,3,18,6
382,11.05.2022_3_1,e-õpe,30,40,3,18,6
383,11.05.2022_3_1,e-õpe,30,43,3,18,6
384,11.05.2022_3_1,e-õpe,30,48,3,18,6
385,11.05.2022_3_1,e-õpe,30,49,3,18,6
386,11.05.2022_3_1,e-õpe,30,56,3,18,6
387,07.06.2022_1_2,e-õpe,24,7,3,15,5
388,07.06.2022_1_2,e-õpe,24,9,3,15,5
389,07.06.2022_1_2,e-õpe,24,11,3,15,5
390,07.06.2022_1_2,e-õpe,24,13,3,15,5
391,07.06.2022_1_2,e-õpe,24,28,3,15,5
392,07.06.2022_1_2,e-õpe,24,38,3,15,5
393,07.06.2022_1_2,e-õpe,24,49,3,15,5
394,07.06.2022_1_2,e-õpe,24,62,3,15,5
395,19.06.2022_14_3,e-õpe,30,46,3,15,5
396,19.06.2022_14_3,e-õpe,30,52,3,15,5
397,19.06.2022_14_3,e-õpe,30,64,3,15,5
398,19.06.2022_14_3,klassiõpe,36,87,3,15,5
399,19.06.2022_14_3,klassiõpe,36,31,3,15,5
400,19.06.2022_14_3,klassiõpe,36,114,3,15,5
401,19.06.2022_14_3,klassiõpe,36,118,3,15,5
402,06.07.2022_8_8,klassiõpe,27,48,1,6,6
403,06.07.2022_8_8,klassiõpe,27,64,1,6,6
404,06.07.2022_8_8,klassiõpe,27,72,1,6,6
405,12.07.2022_6_3,klassiõpe,33,1,1,8,8
406,12.07.2022_6_3,klassiõpe,33,9,1,8,8
407,12.07.2022_6_3,klassiõpe,33,23,1,8,8
408,12.07.2022_6_3,klassiõpe,33,28,1,8,8
409,12.07.2022_6_3,klassiõpe,33,31,1,8,8
410,12.07.2022_6_3,klassiõpe,33,50,1,8,8
411,12.07.2022_6_3,klassiõpe,33,51,1,8,8
412,12.07.2022_6_3,klassiõpe,33,73,1,8,8
413,12.07.2022_6_3,klassiõpe,33,87,1,8,8
414,20.07.2022_20_8,e-õpe,21,16,2,12,6
415,20.07.2022_20_8,e-õpe,21,24,2,12,6
416,20.07.2022_20_8,e-õpe,21,46,2,12,6
417,20.07.2022_20_8,e-õpe,21,75,2,12,6
418,20.07.2022_20_8,e-õpe,21,81,2,12,6
419,20.07.2022_20_8,e-õpe,21,90,2,12,6
420,20.07.2022_20_8,e-õpe,21,101,2,12,6
421,20.07.2022_20_8,e-õpe,21,108,2,12,6
422,25.07.2022_5_4,klassiõpe,30,57,1,6,6
423,25.07.2022_5_4,klassiõpe,30,70,1,6,6
424,25.07.2022_5_4,klassiõpe,30,73,1,6,6
425,25.07.2022_5_4,klassiõpe,30,86,1,6,6
426,25.07.2022_5_4,klassiõpe,30,102,1,6,6
427,25.07.2022_5_4,klassiõpe,30,115,1,6,6
428,25.07.2022_5_4,klassiõpe,30,124,1,6,6
429,28.08.2022_19_8,e-õpe,18,23,1,7,7
430,28.08.2022_19_8,e-õpe,18,76,1,7,7
431,28.08.2022_19_8,e-õpe,18,89,1,7,7
432,28.08.2022_19_8,e-õpe,18,92,1,7,7
433,28.08.2022_19_8,e-õpe,18,110,1,7,7
434,28.08.2022_19_8,e-õpe,18,112,1,7,7
435,28.08.2022_19_8,e-õpe,18,120,1,7,7
436,28.08.2022_19_8,e-õpe,18,116,1,7,7
437,28.08.2022_19_8,e-õpe,18,116,1,7,7
438,28.08.2022_19_8,e-õpe,18,121,1,7,7
439,16.09.2022_20_2,klassiõpe,27,4,2,12,6
440,16.09.2022_20_2,klassiõpe,27,8,2,12,6
441,16.09.2022_20_2,klassiõpe,27,36,2,12,6
442,16.09.2022_20_2,klassiõpe,27,44,2,12,6
443,16.09.2022_20_2,klassiõpe,27,50,2,12,6
444,16.09.2022_20_2,klassiõpe,27,83,2,12,6
445,16.09.2022_20_2,klassiõpe,27,125,2,12,6
446,22.09.2022_2_2,klassiõpe,27,7,3,18,6
447,22.09.2022_2_2,klassiõpe,27,16,3,18,6
448,22.09.2022_2_2,klassiõpe,27,20,3,18,6
449,22.09.2022_2_2,klassiõpe,27,32,3,18,6
450,22.09.2022_2_2,klassiõpe,27,35,3,18,6
451,22.09.2022_2_2,klassiõpe,27,36,3,18,6
452,22.09.2022_2_2,klassiõpe,27,42,3,18,6
453,22.09.2022_2_2,e-õpe,24,52,3,18,6
454,22.09.2022_2_2,e-õpe,24,54,3,18,6
455,22.09.2022_2_2,e-õpe,24,63,3,18,6
456,27.09.2022_17_1,klassiõpe,45,1,4,32,8
457,27.09.2022_17_1,klassiõpe,45,2,4,32,8
458,27.09.2022_17_1,klassiõpe,45,13,4,32,8
459,27.09.2022_17_1,klassiõpe,45,17,4,32,8
460,27.09.2022_17_1,klassiõpe,45,21,4,32,8
461,27.09.2022_17_1,klassiõpe,45,24,4,32,8
462,27.09.2022_17_1,klassiõpe,45,79,4,32,8
463,27.09.2022_17_1,klassiõpe,45,93,4,32,8
464,27.09.2022_17_1,klassiõpe,45,110,4,32,8
465,27.09.2022_17_1,klassiõpe,45,125,4,32,8
466,26.10.2022_16_7,klassiõpe,24,4,1,6,6
