Koolituse ID,Asukoht,Kuupäev,Lektor ID,Päevade arv,Toimunud koolituse ID,Tundide arv koolitusel,Tundide arv päevas
15,Tallinn,21-12-21,2,2,21.12.2021_15_2,8,4
15,Tallinn,02-11-21,3,2,02.11.2021_15_3,8,4
15,Tartu,17-11-21,2,2,17.11.2021_15_2,8,4
15,Tartu,08-04-23,3,2,08.04.2023_15_3,8,4
15,Valga,04-03-21,7,2,04.03.2021_15_7,8,4
15,Võru,14-09-21,3,2,14.09.2021_15_3,8,4
16,Pärnu,26-04-23,7,1,26.04.2023_16_7,6,6
16,Tallinn,06-07-23,2,1,06.07.2023_16_2,6,6
16,Tallinn,18-12-21,2,1,18.12.2021_16_2,6,6
16,Tallinn,22-09-21,3,1,22.09.2021_16_3,6,6
16,Tallinn,26-10-22,7,1,26.10.2022_16_7,6,6
16,Tallinn,07-07-23,8,1,07.07.2023_16_8,6,6
16,Tartu,04-11-22,3,1,04.11.2022_16_3,6,6
17,Tallinn,20-01-21,1,4,20.01.2021_17_1,32,8
17,Tallinn,27-09-22,1,4,27.09.2022_17_1,32,8
18,,05-03-23,2,1,05.03.2023_18_2,6,6
18,,17-07-21,2,1,17.07.2021_18_2,6,6
18,,22-06-23,7,1,22.06.2023_18_7,6,6
18,,26-02-21,7,1,26.02.2021_18_7,6,6
18,,12-10-23,8,1,12.10.2023_18_8,6,6
19,,07-12-21,1,1,07.12.2021_19_1,7,7
19,,11-03-22,1,1,11.03.2022_19_1,7,7
19,,21-07-21,2,1,21.07.2021_19_2,7,7
19,,22-05-23,2,1,22.05.2023_19_2,7,7
19,,26-10-22,2,1,26.10.2022_19_2,7,7
19,,08-02-23,7,1,08.02.2023_19_7,7,7
19,,28-08-22,8,1,28.08.2022_19_8,7,7
19,,31-05-23,8,1,31.05.2023_19_8,7,7
20,,03-11-21,2,2,03.11.2021_20_2,12,6
20,,20-10-23,2,2,20.10.2023_20_2,12,6
20,,20-07-22,8,2,20.07.2022_20_8,12,6
20,Narva,05-01-23,2,2,05.01.2023_20_2,12,6
20,Narva,26-01-23,7,2,26.01.2023_20_7,12,6
20,Tartu,16-09-22,2,2,16.09.2022_20_2,12,6
20,Tartu,15-06-21,7,2,15.06.2021_20_7,12,6
21,,28-02-21,2,2,28.02.2021_21_2,16,8
21,,30-10-22,2,2,30.10.2022_21_2,16,8
21,Tallinn,05-03-21,2,2,05.03.2021_21_2,16,8
21,Tartu,26-12-22,2,2,26.12.2022_21_2,16,8
