DATE,YEAR,MONTH,TOTAL_PHARMACIES,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS,TOTAL_DISTANCE_SELLING_PHARMACIES,TOTAL_HUNDRED_HOUR_PHARMACIES,SMALL,MEDIUM,LARGE,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_OPENED,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_CLOSED,PHARMACIES_EXCLUDING_DISTANCE_SELLERS_NET_CHANGE,SMALL_PHARMACIES_OPENED,SMALL_PHARMACIES_CLOSED,SMALL_PHARMACIES_NET_CHANGE,MEDIUM_PHARMACIES_OPENED,MEDIUM_PHARMACIES_CLOSED,MEDIUM_PHARMACIES_NET_CHANGE,LARGE_PHARMACIES_OPENED,LARGE_PHARMACIES_CLOSED,LARGE_PHARMACIES_NET_CHANGE,DISTANCE_SELLERS_OPENED,DISTANCE_SELLERS_CLOSED,DISTANCE_SELLERS_NET_CHANGE,
28-02-22,2022,2,11117,10736,381,1063,4077,1717,4942,29,32,-3,19,0,19,10,17,-7,0,15,-15,2,3,-1,
31-03-22,2022,3,11121,10739,382,1056,4083,1720,4936,18,15,3,10,0,10,8,9,-1,0,6,-6,2,1,1,
30-04-22,2022,4,11113,10729,384,1050,4080,1721,4928,10,19,-9,9,0,9,1,11,-10,0,8,-8,3,2,1,
31-05-22,2022,5,11099,10713,386,1045,4080,1720,4913,18,34,-16,15,1,14,3,18,-15,0,15,-15,2,0,2,
30-06-22,2022,6,11093,10704,389,1043,4082,1721,4901,18,27,-9,14,0,14,4,15,-11,0,12,-12,4,1,3,
31-07-22,2022,7,11080,10692,388,1036,4077,1723,4892,16,28,-12,13,1,12,3,18,-15,0,9,-9,2,3,-1,
31-08-22,2022,8,11083,10691,392,1032,4082,1727,4882,23,24,-1,19,1,18,4,13,-9,0,10,-10,5,1,4,
30-09-22,2022,9,11071,10681,390,1027,4077,1730,4874,15,25,-10,12,0,12,0,14,-14,3,11,-8,2,4,-2,
31-10-22,2022,10,11046,10658,388,1024,4079,1731,4848,15,38,-23,10,0,10,4,11,-7,1,27,-26,4,6,-2,
30-11-22,2022,11,11059,10668,391,1022,4092,1735,4841,32,22,10,20,0,20,8,11,-3,4,11,-7,4,1,3,
31-12-22,2022,12,11067,10676,391,1022,4257,1614,4805,24,16,8,15,1,14,9,5,4,0,10,-10,2,1,1,
31-01-23,2023,1,11045,10654,391,1018,4259,1616,4779,20,42,-22,16,13,3,3,1,2,1,28,-27,1,1,0,
28-02-23,2023,2,11041,10652,389,1014,4283,1617,4752,39,40,-1,36,9,27,2,2,0,1,29,-28,3,5,-2,
31-03-23,2023,3,11026,10635,391,1006,4293,1629,4713,40,56,-16,21,7,14,16,6,10,3,43,-40,4,1,3,
30-04-23,2023,4,10954,10560,394,1002,4320,1661,4579,72,145,-73,34,6,28,36,4,32,2,135,-133,4,0,4,
31-05-23,2023,5,10894,10503,391,984,4366,1687,4450,88,131,-43,58,7,51,29,2,27,1,122,-121,0,3,-3,
30-06-23,2023,6,10845,10450,395,932,4413,1720,4317,89,142,-53,68,4,64,21,1,20,0,137,-137,5,0,5,
31-07-23,2023,7,10800,10405,395,903,4485,1757,4163,122,156,-34,89,6,83,32,4,28,1,146,-145,2,0,2,
31-08-23,2023,8,10775,10380,395,880,4612,1790,3978,185,199,-14,142,12,130,40,4,36,3,183,-180,1,1,0,
30-09-23,2023,9,10757,10364,393,871,4717,1892,3755,146,146,0,127,14,113,18,114,-96,1,18,-17,2,5,-3,
31-10-23,2023,10,10707,10307,400,861,4796,1804,3707,110,153,-43,96,13,83,13,91,-78,1,49,-48,9,2,7,
30-11-23,2023,11,10671,10272,399,852,4811,1799,3662,47,70,-23,42,18,24,4,10,-6,1,42,-41,0,1,-1,
31-12-23,2023,12,10673,10273,400,848,4815,1799,3659,32,27,5,26,10,16,6,4,2,0,13,-13,3,2,1,
31-01-24,2024,1,10613,10209,404,844,4816,1772,3621,25,86,-61,20,15,5,4,7,-3,1,64,-63,4,1,3,
29-02-24,2024,2,10558,10153,405,841,4816,1793,3544,45,98,-53,26,13,13,17,8,9,2,77,-75,3,1,2,
31-03-24,2024,3,10519,10112,407,839,4820,1804,3488,43,83,-40,29,20,9,12,5,7,2,58,-56,4,2,2,
30-04-24,2024,4,10506,10096,410,838,4822,1818,3456,49,61,-12,29,19,10,17,8,9,3,34,-31,5,2,3,
31-05-24,2024,5,10498,10090,408,832,4810,1843,3437,35,38,-3,23,13,10,11,5,6,1,20,-19,4,4,0,
30-06-24,2024,6,10489,10079,410,828,4833,1849,3397,59,69,-10,48,13,35,11,16,-5,0,40,-40,4,0,4,
31-07-24,2024,7,10465,10054,411,816,4840,1842,3372,50,73,-23,35,22,13,14,26,-12,1,25,-24,3,2,1,
31-08-24,2024,8,10471,10059,412,810,4865,1839,3355,51,45,6,40,14,26,11,13,-2,0,18,-18,4,3,1,
30-09-24,2024,9,10458,10046,412,806,4875,1831,3340,47,54,-7,40,20,20,6,19,-13,1,15,-14,4,4,0,
31-10-24,2024,10,10450,10043,407,803,4882,1834,3327,47,46,1,35,15,20,12,18,-6,0,13,-13,1,5,-4,
30-11-24,2024,11,10454,10044,410,797,4901,1826,3317,46,47,-1,41,20,21,5,16,-11,0,11,-11,4,1,3,
31-12-24,2024,12,10451,10044,407,794,4899,1837,3308,33,31,2,25,17,8,8,4,4,0,10,-10,0,3,-3,
31-01-25,2025,1,10436,10025,411,791,4900,1823,3302,25,36,-11,17,11,6,8,19,-11,0,6,-6,7,3,4,
28-02-25,2025,2,10424,10015,409,789,4911,1811,3293,45,52,-7,35,23,12,9,19,-10,1,10,-9,1,3,-2,
31-03-25,2025,3,10407,9999,408,784,4910,1807,3282,59,69,-10,38,29,9,21,31,-10,0,9,-9,6,5,1,
30-04-25,2025,4,10394,9984,410,782,4905,1810,3269,31,40,-9,21,17,4,10,11,-1,0,12,-12,2,0,2,
31-05-25,2025,5,10402,9986,416,784,4918,1816,3252,47,42,5,33,13,20,14,12,2,0,17,-17,9,3,6,
30-06-25,2025,6,10405,9984,421,782,4935,1815,3234,49,44,5,28,13,15,21,14,7,0,17,-17,6,1,5,
31-07-25,2025,7,10399,9972,427,778,4940,1798,3234,31,36,-5,22,15,7,9,21,-12,0,0,0,6,0,6,
31-08-25,2025,8,10412,9981,431,775,4940,1814,3227,46,35,11,26,20,6,20,7,13,0,8,-8,6,2,4,
30-09-25,2025,9,10402,9970,432,774,4952,1794,3224,30,35,-5,27,15,12,3,18,-15,0,2,-2,4,1,3,
31-10-25,2025,10,10401,9969,432,794,4980,1774,3215,44,43,1,40,12,28,4,23,-19,0,8,-8,2,1,1,
30-11-25,2025,11,10397,9962,435,791,4995,1760,3207,39,44,-5,29,14,15,10,22,-12,0,8,-8,5,2,3,
31-12-25,2025,12,10406,9971,435,789,5002,1764,3205,32,21,11,26,14,12,6,5,1,0,2,-2,2,2,0,
31-01-26,2026,1,10402,9963,439,789,5011,1749,3203,40,44,-4,33,18,15,5,21,-16,2,5,-3,7,2,5,
